CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 12:57:24
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       6 |     1 |        3
  2 |       5 |     6 |        2
  3 |       0 |     1 |        3
  4 |       5 |     5 |        1
  5 |       9 |     8 |        3

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |      4.800 |         9.000 |       4.800 |     84.000 |      0.200
Priority                 |      4.600 |         8.800 |       4.600 |     84.000 |      0.200
Round Robin              |      7.000 |        11.200 |       3.200 |     84.000 |      0.200

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       6 |     1 |         17 |      10 |         11 |       10
  2 | P2   |       5 |     6 |         11 |       0 |          6 |        0
  3 | P3   |       0 |     1 |          1 |       0 |          1 |        0
  4 | P4   |       5 |     5 |         16 |       6 |         11 |        6
  5 | P5   |       9 |     8 |         25 |       8 |         16 |        8

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       6 |     1 |         17 |      10 |         11 |       10
  2 | P2   |       5 |     6 |         16 |       5 |         11 |        5
  3 | P3   |       0 |     1 |          1 |       0 |          1 |        0
  4 | P4   |       5 |     5 |         10 |       0 |          5 |        0
  5 | P5   |       9 |     8 |         25 |       8 |         16 |        8

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       6 |     1 |         14 |       7 |          8 |        7
  2 | P2   |       5 |     6 |         20 |       9 |         15 |        0
  3 | P3   |       0 |     1 |          1 |       0 |          1 |        0
  4 | P4   |       5 |     5 |         21 |      11 |         16 |        4
  5 | P5   |       9 |     8 |         25 |       8 |         16 |        5

