CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 13:25:21
Run Type: Run Simulation
Quantum: 50

Input Process Data
PID | Arrival | Burst | Priority
  1 |       9 |     4 |        1
  2 |       0 |     9 |        3
  3 |       2 |     7 |        1
  4 |       9 |     9 |        2
  5 |       9 |     7 |        1
  6 |       9 |     3 |        2
  7 |       5 |     3 |        2
  8 |       6 |     4 |        1
  9 |       3 |     5 |        3
 10 |       8 |     5 |        2
 11 |       2 |     9 |        1
 12 |       8 |     6 |        3
 13 |       3 |     7 |        1
 14 |       5 |     3 |        3
 15 |       4 |     9 |        3
 16 |       2 |     6 |        3
 17 |       7 |     7 |        3
 18 |       9 |     9 |        1
 19 |       2 |     7 |        1
 20 |       6 |     8 |        2
 21 |       8 |     5 |        1
 22 |       0 |     2 |        2
 23 |       4 |     7 |        2
 24 |       7 |     5 |        1
 25 |       5 |     1 |        3
 26 |       6 |     8 |        1
 27 |       5 |     7 |        2
 28 |       1 |     5 |        1
 29 |       6 |     3 |        2
 30 |       2 |     9 |        3
 31 |       3 |     1 |        3
 32 |       8 |     7 |        2
 33 |       0 |     5 |        2
 34 |       5 |     3 |        1
 35 |       9 |     3 |        3
 36 |       0 |     6 |        3
 37 |       1 |     4 |        1
 38 |       3 |     8 |        2
 39 |       3 |     1 |        2
 40 |       8 |     8 |        1
 41 |       9 |     9 |        1
 42 |       8 |     5 |        3
 43 |       8 |     6 |        1
 44 |       2 |     5 |        2
 45 |       6 |     1 |        2
 46 |       3 |     7 |        1
 47 |       6 |     7 |        1
 48 |       1 |     2 |        2
 49 |       4 |     3 |        3
 50 |       4 |     9 |        1

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |    129.360 |       134.940 |     129.360 |    100.000 |      0.179
Priority                 |    137.780 |       143.360 |     137.780 |    100.000 |      0.179
Round Robin              |    129.360 |       134.940 |     129.360 |    100.000 |      0.179
Shortest Job First       |     96.960 |       102.540 |      96.960 |    100.000 |      0.179

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       9 |     4 |        239 |     226 |        230 |      226
  2 | P2   |       0 |     9 |          9 |       0 |          9 |        0
  3 | P3   |       2 |     7 |         40 |      31 |         38 |       31
  4 | P4   |       9 |     9 |        248 |     230 |        239 |      230
  5 | P5   |       9 |     7 |        255 |     239 |        246 |      239
  6 | P6   |       9 |     3 |        258 |     246 |        249 |      246
  7 | P7   |       5 |     3 |        136 |     128 |        131 |      128
  8 | P8   |       6 |     4 |        154 |     144 |        148 |      144
  9 | P9   |       3 |     5 |         81 |      73 |         78 |       73
 10 | P10  |       8 |     5 |        198 |     185 |        190 |      185
 11 | P11  |       2 |     9 |         49 |      38 |         47 |       38
 12 | P12  |       8 |     6 |        204 |     190 |        196 |      190
 13 | P13  |       3 |     7 |         88 |      78 |         85 |       78
 14 | P14  |       5 |     3 |        139 |     131 |        134 |      131
 15 | P15  |       4 |     9 |        114 |     101 |        110 |      101
 16 | P16  |       2 |     6 |         55 |      47 |         53 |       47
 17 | P17  |       7 |     7 |        188 |     174 |        181 |      174
 18 | P18  |       9 |     9 |        267 |     249 |        258 |      249
 19 | P19  |       2 |     7 |         62 |      53 |         60 |       53
 20 | P20  |       6 |     8 |        162 |     148 |        156 |      148
 21 | P21  |       8 |     5 |        209 |     196 |        201 |      196
 22 | P22  |       0 |     2 |         11 |       9 |         11 |        9
 23 | P23  |       4 |     7 |        121 |     110 |        117 |      110
 24 | P24  |       7 |     5 |        193 |     181 |        186 |      181
 25 | P25  |       5 |     1 |        140 |     134 |        135 |      134
 26 | P26  |       6 |     8 |        170 |     156 |        164 |      156
 27 | P27  |       5 |     7 |        147 |     135 |        142 |      135
 28 | P28  |       1 |     5 |         27 |      21 |         26 |       21
 29 | P29  |       6 |     3 |        173 |     164 |        167 |      164
 30 | P30  |       2 |     9 |         71 |      60 |         69 |       60
 31 | P31  |       3 |     1 |         89 |      85 |         86 |       85
 32 | P32  |       8 |     7 |        216 |     201 |        208 |      201
 33 | P33  |       0 |     5 |         16 |      11 |         16 |       11
 34 | P34  |       5 |     3 |        150 |     142 |        145 |      142
 35 | P35  |       9 |     3 |        270 |     258 |        261 |      258
