CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 13:25:43
Run Type: Run Simulation
Quantum: 51

Input Process Data
PID | Arrival | Burst | Priority
  1 |       0 |     3 |        2
  2 |       1 |     7 |        1
  3 |       6 |     2 |        1
  4 |       3 |     5 |        2
  5 |       8 |     8 |        1
  6 |       2 |     1 |        3
  7 |       3 |     3 |        3
  8 |       2 |     8 |        3
  9 |       0 |     2 |        3
 10 |       9 |     5 |        2
 11 |       2 |     1 |        3
 12 |       7 |     4 |        2
 13 |       3 |     1 |        2
 14 |       6 |     3 |        2
 15 |       5 |     7 |        3
 16 |       4 |     5 |        2
 17 |       9 |     1 |        3
 18 |       6 |     5 |        1
 19 |       2 |     5 |        3
 20 |       5 |     1 |        3
 21 |       7 |     2 |        1
 22 |       5 |     6 |        3
 23 |       9 |     7 |        2
 24 |       3 |     7 |        1
 25 |       1 |     7 |        2
 26 |       0 |     8 |        3
 27 |       1 |     4 |        3
 28 |       3 |     1 |        2
 29 |       7 |     6 |        1
 30 |       5 |     8 |        3
 31 |       4 |     4 |        3
 32 |       8 |     3 |        3
 33 |       7 |     7 |        3
 34 |       9 |     1 |        2
 35 |       6 |     5 |        2
 36 |       1 |     5 |        3
 37 |       6 |     9 |        1
 38 |       0 |     8 |        1
 39 |       7 |     6 |        2
 40 |       7 |     9 |        1
 41 |       2 |     7 |        1
 42 |       0 |     4 |        3
 43 |       3 |     9 |        3
 44 |       1 |     1 |        2
 45 |       9 |     4 |        2
 46 |       7 |     4 |        1
 47 |       2 |     7 |        3
 48 |       2 |     3 |        2
 49 |       5 |     4 |        2
 50 |       4 |     6 |        2

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |    112.560 |       117.340 |     112.560 |    100.000 |      0.209
Priority                 |    117.680 |       122.460 |     117.680 |    100.000 |      0.209
Round Robin              |    112.560 |       117.340 |     112.560 |    100.000 |      0.209
Shortest Job First       |     77.520 |        82.300 |      77.520 |    100.000 |      0.209

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       0 |     3 |          3 |       0 |          3 |        0
  2 | P2   |       1 |     7 |         32 |      24 |         31 |       24
  3 | P3   |       6 |     2 |        150 |     142 |        144 |      142
  4 | P4   |       3 |     5 |         86 |      78 |         83 |       78
  5 | P5   |       8 |     8 |        218 |     202 |        210 |      202
  6 | P6   |       2 |     1 |         50 |      47 |         48 |       47
  7 | P7   |       3 |     3 |         89 |      83 |         86 |       83
  8 | P8   |       2 |     8 |         58 |      48 |         56 |       48
  9 | P9   |       0 |     2 |          5 |       3 |          5 |        3
 10 | P10  |       9 |     5 |        226 |     212 |        217 |      212
 11 | P11  |       2 |     1 |         59 |      56 |         57 |       56
 12 | P12  |       7 |     4 |        176 |     165 |        169 |      165
 13 | P13  |       3 |     1 |         90 |      86 |         87 |       86
 14 | P14  |       6 |     3 |        153 |     144 |        147 |      144
 15 | P15  |       5 |     7 |        129 |     117 |        124 |      117
 16 | P16  |       4 |     5 |        112 |     103 |        108 |      103
 17 | P17  |       9 |     1 |        227 |     217 |        218 |      217
 18 | P18  |       6 |     5 |        158 |     147 |        152 |      147
 19 | P19  |       2 |     5 |         64 |      57 |         62 |       57
 20 | P20  |       5 |     1 |        130 |     124 |        125 |      124
 21 | P21  |       7 |     2 |        178 |     169 |        171 |      169
 22 | P22  |       5 |     6 |        136 |     125 |        131 |      125
 23 | P23  |       9 |     7 |        234 |     218 |        225 |      218
 24 | P24  |       3 |     7 |         97 |      87 |         94 |       87
 25 | P25  |       1 |     7 |         39 |      31 |         38 |       31
 26 | P26  |       0 |     8 |         13 |       5 |         13 |        5
 27 | P27  |       1 |     4 |         43 |      38 |         42 |       38
 28 | P28  |       3 |     1 |         98 |      94 |         95 |       94
 29 | P29  |       7 |     6 |        184 |     171 |        177 |      171
 30 | P30  |       5 |     8 |        144 |     131 |        139 |      131
 31 | P31  |       4 |     4 |        116 |     108 |        112 |      108
 32 | P32  |       8 |     3 |        221 |     210 |        213 |      210
 33 | P33  |       7 |     7 |        191 |     177 |        184 |      177
 34 | P34  |       9 |     1 |        235 |     225 |        226 |      225
 35 | P35  |       6 |     5 |        163 |     152 |        157 |      152
