CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 13:26:15
Run Type: Run Simulation
Quantum: 15

Input Process Data
PID | Arrival | Burst | Priority
  1 |       5 |     5 |        1
  2 |       0 |     8 |        1
  3 |       4 |     4 |        1
  4 |       6 |     1 |        3
  5 |       8 |     7 |        3
  6 |       7 |     1 |        2
  7 |       2 |     9 |        1
  8 |       9 |     8 |        1
  9 |       9 |     7 |        3
 10 |       1 |     1 |        3
 11 |       9 |     3 |        1
 12 |       0 |     8 |        2
 13 |       1 |     5 |        3
 14 |       8 |     4 |        3

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     29.571 |        34.643 |      29.571 |    100.000 |      0.197
Priority                 |     31.500 |        36.571 |      31.500 |    100.000 |      0.197
Round Robin              |     29.571 |        34.643 |      29.571 |    100.000 |      0.197
Shortest Job First       |     20.214 |        25.286 |      20.214 |    100.000 |      0.197

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     5 |         40 |      30 |         35 |       30
  2 | P2   |       0 |     8 |          8 |       0 |          8 |        0
  3 | P3   |       4 |     4 |         35 |      27 |         31 |       27
  4 | P4   |       6 |     1 |         41 |      34 |         35 |       34
  5 | P5   |       8 |     7 |         49 |      34 |         41 |       34
  6 | P6   |       7 |     1 |         42 |      34 |         35 |       34
  7 | P7   |       2 |     9 |         31 |      20 |         29 |       20
  8 | P8   |       9 |     8 |         61 |      44 |         52 |       44
  9 | P9   |       9 |     7 |         68 |      52 |         59 |       52
 10 | P10  |       1 |     1 |         17 |      15 |         16 |       15
 11 | P11  |       9 |     3 |         71 |      59 |         62 |       59
 12 | P12  |       0 |     8 |         16 |       8 |         16 |        8
 13 | P13  |       1 |     5 |         22 |      16 |         21 |       16
 14 | P14  |       8 |     4 |         53 |      41 |         45 |       41

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     5 |         26 |      16 |         21 |       16
  2 | P2   |       0 |     8 |          8 |       0 |          8 |        0
  3 | P3   |       4 |     4 |         21 |      13 |         17 |       13
  4 | P4   |       6 |     1 |         53 |      46 |         47 |       46
  5 | P5   |       8 |     7 |         60 |      45 |         52 |       45
  6 | P6   |       7 |     1 |         46 |      38 |         39 |       38
  7 | P7   |       2 |     9 |         17 |       6 |         15 |        6
  8 | P8   |       9 |     8 |         34 |      17 |         25 |       17
  9 | P9   |       9 |     7 |         71 |      55 |         62 |       55
 10 | P10  |       1 |     1 |         47 |      45 |         46 |       45
 11 | P11  |       9 |     3 |         37 |      25 |         28 |       25
 12 | P12  |       0 |     8 |         45 |      37 |         45 |       37
 13 | P13  |       1 |     5 |         52 |      46 |         51 |       46
 14 | P14  |       8 |     4 |         64 |      52 |         56 |       52

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     5 |         40 |      30 |         35 |       30
  2 | P2   |       0 |     8 |          8 |       0 |          8 |        0
  3 | P3   |       4 |     4 |         35 |      27 |         31 |       27
  4 | P4   |       6 |     1 |         41 |      34 |         35 |       34
  5 | P5   |       8 |     7 |         49 |      34 |         41 |       34
  6 | P6   |       7 |     1 |         42 |      34 |         35 |       34
  7 | P7   |       2 |     9 |         31 |      20 |         29 |       20
  8 | P8   |       9 |     8 |         61 |      44 |         52 |       44
  9 | P9   |       9 |     7 |         68 |      52 |         59 |       52
 10 | P10  |       1 |     1 |         17 |      15 |         16 |       15
 11 | P11  |       9 |     3 |         71 |      59 |         62 |       59
 12 | P12  |       0 |     8 |         16 |       8 |         16 |        8
 13 | P13  |       1 |     5 |         22 |      16 |         21 |       16
 14 | P14  |       8 |     4 |         53 |      41 |         45 |       41

Per-Process Results - Shortest Job First
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     5 |         27 |      17 |         22 |       17
  2 | P2   |       0 |     8 |          8 |       0 |          8 |        0
  3 | P3   |       4 |     4 |         18 |      10 |         14 |       10
  4 | P4   |       6 |     1 |         11 |       4 |          5 |        4
  5 | P5   |       8 |     7 |         39 |      24 |         31 |       24
  6 | P6   |       7 |     1 |          9 |       1 |          2 |        1
  7 | P7   |       2 |     9 |         71 |      60 |         69 |       60
  8 | P8   |       9 |     8 |         54 |      37 |         45 |       37
  9 | P9   |       9 |     7 |         46 |      30 |         37 |       30
 10 | P10  |       1 |     1 |         10 |       8 |          9 |        8
 11 | P11  |       9 |     3 |         14 |       2 |          5 |        2
 12 | P12  |       0 |     8 |         62 |      54 |         62 |       54
 13 | P13  |       1 |     5 |         32 |      26 |         31 |       26
 14 | P14  |       8 |     4 |         22 |      10 |         14 |       10

