CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 18:43:49
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       0 |     6 |        1
  2 |       0 |     6 |        2
  3 |       2 |     8 |        2
  4 |       1 |     1 |        3
  5 |       3 |     3 |        1
  6 |       1 |     2 |        3
  7 |       7 |     1 |        3
  8 |       2 |     8 |        2
  9 |       2 |     7 |        2
 10 |       9 |     5 |        1
 11 |       0 |     7 |        2
 12 |       1 |     8 |        3
 13 |       8 |     4 |        2
 14 |       0 |     6 |        2
 15 |       1 |     1 |        2
 16 |       0 |     3 |        2
 17 |       2 |     7 |        3
 18 |       5 |     5 |        3
 19 |       6 |     5 |        2
 20 |       6 |     2 |        1
 21 |       8 |     9 |        1
 22 |       8 |     3 |        2
 23 |       0 |     2 |        1
 24 |       9 |     4 |        3
 25 |       9 |     2 |        2
 26 |       4 |     8 |        3
 27 |       6 |     9 |        3
 28 |       6 |     4 |        2
 29 |       8 |     6 |        2
 30 |       2 |     1 |        2
 31 |       6 |     5 |        3
 32 |       5 |     6 |        1
 33 |       5 |     7 |        2
 34 |       0 |     3 |        1
 35 |       2 |     7 |        2
 36 |       0 |     1 |        1
 37 |       3 |     3 |        3
 38 |       5 |     2 |        3
 39 |       3 |     4 |        1
 40 |       5 |     2 |        2

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     85.925 |        90.500 |      85.925 |    100.000 |      0.219
Priority                 |     90.550 |        95.125 |      74.425 |    100.000 |      0.219
Round Robin              |    102.975 |       107.550 |      58.300 |    100.000 |      0.219
Shortest Job First       |     57.250 |        61.825 |      57.250 |    100.000 |      0.219

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       0 |     6 |          6 |       0 |          6 |        0
  2 | P2   |       0 |     6 |         12 |       6 |         12 |        6
  3 | P3   |       2 |     8 |         54 |      44 |         52 |       44
  4 | P4   |       1 |     1 |         35 |      33 |         34 |       33
  5 | P5   |       3 |     3 |         87 |      81 |         84 |       81
  6 | P6   |       1 |     2 |         37 |      34 |         36 |       34
  7 | P7   |       7 |     1 |        150 |     142 |        143 |      142
  8 | P8   |       2 |     8 |         62 |      52 |         60 |       52
  9 | P9   |       2 |     7 |         69 |      60 |         67 |       60
 10 | P10  |       9 |     5 |        177 |     163 |        168 |      163
 11 | P11  |       0 |     7 |         19 |      12 |         19 |       12
 12 | P12  |       1 |     8 |         45 |      36 |         44 |       36
 13 | P13  |       8 |     4 |        154 |     142 |        146 |      142
 14 | P14  |       0 |     6 |         25 |      19 |         25 |       19
 15 | P15  |       1 |     1 |         46 |      44 |         45 |       44
 16 | P16  |       0 |     3 |         28 |      25 |         28 |       25
 17 | P17  |       2 |     7 |         76 |      67 |         74 |       67
 18 | P18  |       5 |     5 |        107 |      97 |        102 |       97
 19 | P19  |       6 |     5 |        129 |     118 |        123 |      118
 20 | P20  |       6 |     2 |        131 |     123 |        125 |      123
 21 | P21  |       8 |     9 |        163 |     146 |        155 |      146
 22 | P22  |       8 |     3 |        166 |     155 |        158 |      155
 23 | P23  |       0 |     2 |         30 |      28 |         30 |       28
 24 | P24  |       9 |     4 |        181 |     168 |        172 |      168
 25 | P25  |       9 |     2 |        183 |     172 |        174 |      172
 26 | P26  |       4 |     8 |        102 |      90 |         98 |       90
 27 | P27  |       6 |     9 |        140 |     125 |        134 |      125
 28 | P28  |       6 |     4 |        144 |     134 |        138 |      134
 29 | P29  |       8 |     6 |        172 |     158 |        164 |      158
