CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 18:44:18
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       2 |     2 |        2
  2 |       6 |     4 |        2
  3 |       5 |     8 |        1
  4 |       8 |     8 |        3
  5 |       5 |     7 |        1
  6 |       4 |     7 |        2
  7 |       0 |     6 |        1
  8 |       8 |     7 |        2
  9 |       2 |     5 |        3
 10 |       0 |     1 |        3
 11 |       5 |     5 |        1
 12 |       1 |     4 |        1
 13 |       9 |     1 |        1
 14 |       6 |     9 |        2
 15 |       7 |     4 |        2
 16 |       8 |     6 |        1
 17 |       6 |     3 |        3
 18 |       4 |     9 |        2
 19 |       9 |     8 |        1
 20 |       4 |     8 |        3
 21 |       0 |     4 |        2
 22 |       7 |     3 |        2
 23 |       1 |     2 |        1
 24 |       8 |     4 |        3
 25 |       3 |     5 |        3
 26 |       7 |     3 |        2
 27 |       3 |     1 |        2
 28 |       5 |     5 |        3
 29 |       5 |     1 |        2
 30 |       2 |     4 |        2

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     61.267 |        66.067 |      61.267 |    100.000 |      0.208
Priority                 |     68.133 |        72.933 |      59.567 |    100.000 |      0.208
Round Robin              |     75.567 |        80.367 |      44.367 |    100.000 |      0.208
Shortest Job First       |     44.167 |        48.967 |      44.167 |    100.000 |      0.208

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       2 |     2 |         19 |      15 |         17 |       15
  2 | P2   |       6 |     4 |         88 |      78 |         82 |       78
  3 | P3   |       5 |     8 |         66 |      53 |         61 |       53
  4 | P4   |       8 |     8 |        118 |     102 |        110 |      102
  5 | P5   |       5 |     7 |         73 |      61 |         68 |       61
  6 | P6   |       4 |     7 |         41 |      30 |         37 |       30
  7 | P7   |       0 |     6 |          6 |       0 |          6 |        0
  8 | P8   |       8 |     7 |        125 |     110 |        117 |      110
  9 | P9   |       2 |     5 |         24 |      17 |         22 |       17
 10 | P10  |       0 |     1 |          7 |       6 |          7 |        6
 11 | P11  |       5 |     5 |         78 |      68 |         73 |       68
 12 | P12  |       1 |     4 |         15 |      10 |         14 |       10
 13 | P13  |       9 |     1 |        136 |     126 |        127 |      126
 14 | P14  |       6 |     9 |         97 |      82 |         91 |       82
 15 | P15  |       7 |     4 |        104 |      93 |         97 |       93
 16 | P16  |       8 |     6 |        131 |     117 |        123 |      117
 17 | P17  |       6 |     3 |        100 |      91 |         94 |       91
 18 | P18  |       4 |     9 |         50 |      37 |         46 |       37
 19 | P19  |       9 |     8 |        144 |     127 |        135 |      127
 20 | P20  |       4 |     8 |         58 |      46 |         54 |       46
 21 | P21  |       0 |     4 |         11 |       7 |         11 |        7
 22 | P22  |       7 |     3 |        107 |      97 |        100 |       97
 23 | P23  |       1 |     2 |         17 |      14 |         16 |       14
 24 | P24  |       8 |     4 |        135 |     123 |        127 |      123
 25 | P25  |       3 |     5 |         33 |      25 |         30 |       25
 26 | P26  |       7 |     3 |        110 |     100 |        103 |      100
 27 | P27  |       3 |     1 |         34 |      30 |         31 |       30
 28 | P28  |       5 |     5 |         83 |      73 |         78 |       73
 29 | P29  |       5 |     1 |         84 |      78 |         79 |       78
 30 | P30  |       2 |     4 |         28 |      22 |         26 |       22

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       2 |     2 |         53 |      49 |         51 |       49
  2 | P2   |       6 |     4 |         71 |      61 |         65 |       61
  3 | P3   |       5 |     8 |         37 |      24 |         32 |        7
  4 | P4   |       8 |     8 |        144 |     128 |        136 |      117
  5 | P5   |       5 |     7 |         40 |      28 |         35 |       11
  6 | P6   |       4 |     7 |         92 |      81 |         88 |       54
  7 | P7   |       0 |     6 |          6 |       0 |          6 |        0
  8 | P8   |       8 |     7 |        103 |      88 |         95 |       77
  9 | P9   |       2 |     5 |        134 |     127 |        132 |      104
 10 | P10  |       0 |     1 |        106 |     105 |        106 |      105
 11 | P11  |       5 |     5 |         41 |      31 |         36 |       15
 12 | P12  |       1 |     4 |         10 |       5 |          9 |        5
