CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 18:54:58
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       1 |     1 |        3
  2 |       1 |     5 |        3
  3 |       9 |     2 |        3
  4 |       0 |     3 |        3
  5 |       0 |     2 |        2
  6 |       4 |     3 |        3
  7 |       5 |     9 |        3
  8 |       2 |     1 |        3
  9 |       7 |     4 |        2
 10 |       4 |     3 |        3
 11 |       9 |     3 |        1
 12 |       7 |     7 |        2
 13 |       1 |     7 |        2
 14 |       7 |     9 |        3
 15 |       8 |     3 |        1
 16 |       1 |     8 |        2
 17 |       0 |     5 |        2
 18 |       1 |     2 |        1
 19 |       4 |     3 |        1
 20 |       6 |     7 |        1

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     34.900 |        39.250 |      34.900 |    100.000 |      0.230
Priority                 |     37.200 |        41.550 |      32.950 |    100.000 |      0.230
Round Robin              |     40.850 |        45.200 |      24.600 |    100.000 |      0.230
Shortest Job First       |     23.600 |        27.950 |      23.600 |    100.000 |      0.230

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |         11 |       9 |         10 |        9
  2 | P2   |       1 |     5 |         16 |      10 |         15 |       10
  3 | P3   |       9 |     2 |         84 |      73 |         75 |       73
  4 | P4   |       0 |     3 |          3 |       0 |          3 |        0
  5 | P5   |       0 |     2 |          5 |       3 |          5 |        3
  6 | P6   |       4 |     3 |         37 |      30 |         33 |       30
  7 | P7   |       5 |     9 |         52 |      38 |         47 |       38
  8 | P8   |       2 |     1 |         34 |      31 |         32 |       31
  9 | P9   |       7 |     4 |         63 |      52 |         56 |       52
 10 | P10  |       4 |     3 |         40 |      33 |         36 |       33
 11 | P11  |       9 |     3 |         87 |      75 |         78 |       75
 12 | P12  |       7 |     7 |         70 |      56 |         63 |       56
 13 | P13  |       1 |     7 |         23 |      15 |         22 |       15
 14 | P14  |       7 |     9 |         79 |      63 |         72 |       63
 15 | P15  |       8 |     3 |         82 |      71 |         74 |       71
 16 | P16  |       1 |     8 |         31 |      22 |         30 |       22
 17 | P17  |       0 |     5 |         10 |       5 |         10 |        5
 18 | P18  |       1 |     2 |         33 |      30 |         32 |       30
 19 | P19  |       4 |     3 |         43 |      36 |         39 |       36
 20 | P20  |       6 |     7 |         59 |      46 |         53 |       46

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |         55 |      53 |         54 |       53
  2 | P2   |       1 |     5 |         77 |      71 |         76 |       54
  3 | P3   |       9 |     2 |         76 |      65 |         67 |       65
  4 | P4   |       0 |     3 |         54 |      51 |         54 |       51
  5 | P5   |       0 |     2 |          2 |       0 |          2 |        0
  6 | P6   |       4 |     3 |         63 |      56 |         59 |       56
  7 | P7   |       5 |     9 |         86 |      72 |         81 |       61
  8 | P8   |       2 |     1 |         60 |      57 |         58 |       57
  9 | P9   |       7 |     4 |         36 |      25 |         29 |       25
 10 | P10  |       4 |     3 |         66 |      59 |         62 |       59
 11 | P11  |       9 |     3 |         20 |       8 |         11 |        8
 12 | P12  |       7 |     7 |         51 |      37 |         44 |       29
 13 | P13  |       1 |     7 |         44 |      36 |         43 |       23
 14 | P14  |       7 |     9 |         87 |      71 |         80 |       63
 15 | P15  |       8 |     3 |         17 |       6 |          9 |        6
 16 | P16  |       1 |     8 |         48 |      39 |         47 |       27
 17 | P17  |       0 |     5 |         41 |      36 |         41 |       20
 18 | P18  |       1 |     2 |          4 |       1 |          3 |        1
 19 | P19  |       4 |     3 |          7 |       0 |          3 |        0
 20 | P20  |       6 |     7 |         14 |       1 |          8 |        1

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |         10 |       8 |          9 |        8
  2 | P2   |       1 |     5 |         64 |      58 |         63 |        9
  3 | P3   |       9 |     2 |         59 |      48 |         50 |       48
  4 | P4   |       0 |     3 |          3 |       0 |          3 |        0
  5 | P5   |       0 |     2 |          5 |       3 |          5 |        3
  6 | P6   |       4 |     3 |         28 |      21 |         24 |       21
  7 | P7   |       5 |     9 |         86 |      72 |         81 |       29
  8 | P8   |       2 |     1 |         25 |      22 |         23 |       22
  9 | P9   |       7 |     4 |         46 |      35 |         39 |       35
 10 | P10  |       4 |     3 |         31 |      24 |         27 |       24
 11 | P11  |       9 |     3 |         62 |      50 |         53 |       50
 12 | P12  |       7 |     7 |         81 |      67 |         74 |       39
 13 | P13  |       1 |     7 |         67 |      59 |         66 |       13
 14 | P14  |       7 |     9 |         87 |      71 |         80 |       43
 15 | P15  |       8 |     3 |         57 |      46 |         49 |       46
 16 | P16  |       1 |     8 |         71 |      62 |         70 |       17
 17 | P17  |       0 |     5 |         63 |      58 |         63 |        5
 18 | P18  |       1 |     2 |         24 |      21 |         23 |       21
 19 | P19  |       4 |     3 |         34 |      27 |         30 |       27
 20 | P20  |       6 |     7 |         78 |      65 |         72 |       32

Per-Process Results - Shortest Job First
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |          3 |       1 |          2 |        1
  2 | P2   |       1 |     5 |         40 |      34 |         39 |       34
  3 | P3   |       9 |     2 |         11 |       0 |          2 |        0
  4 | P4   |       0 |     3 |         20 |      17 |         20 |       17
  5 | P5   |       0 |     2 |          2 |       0 |          2 |        0
  6 | P6   |       4 |     3 |         23 |      16 |         19 |       16
  7 | P7   |       5 |     9 |         78 |      64 |         73 |       64
  8 | P8   |       2 |     1 |          4 |       1 |          2 |        1
  9 | P9   |       7 |     4 |         30 |      19 |         23 |       19
 10 | P10  |       4 |     3 |         26 |      19 |         22 |       19
 11 | P11  |       9 |     3 |         17 |       5 |          8 |        5
 12 | P12  |       7 |     7 |         61 |      47 |         54 |       47
 13 | P13  |       1 |     7 |         54 |      46 |         53 |       46
 14 | P14  |       7 |     9 |         87 |      71 |         80 |       71
 15 | P15  |       8 |     3 |         14 |       3 |          6 |        3
 16 | P16  |       1 |     8 |         69 |      60 |         68 |       60
 17 | P17  |       0 |     5 |         35 |      30 |         35 |       30
 18 | P18  |       1 |     2 |          6 |       3 |          5 |        3
 19 | P19  |       4 |     3 |          9 |       2 |          5 |        2
 20 | P20  |       6 |     7 |         47 |      34 |         41 |       34

