CPU Scheduling Simulator Run Log
Timestamp: 2026-03-31 19:28:54
Run Type: Run Simulation
Quantum: 6

Input Process Data
PID | Arrival | Burst | Priority
  1 |       5 |     4 |        3
  2 |       3 |     3 |        2
  3 |       3 |     1 |        3
  4 |       7 |     6 |        2
  5 |       7 |     1 |        2
  6 |       9 |     3 |        1

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |      4.667 |         7.667 |       4.667 |    100.000 |      0.333
Priority                 |      4.667 |         7.667 |       4.667 |    100.000 |      0.333
Round Robin              |      4.667 |         7.667 |       4.667 |    100.000 |      0.333
Shortest Job First       |      2.500 |         5.500 |       2.500 |    100.000 |      0.333

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     4 |         11 |       2 |          6 |        2
  2 | P2   |       3 |     3 |          6 |       0 |          3 |        0
  3 | P3   |       3 |     1 |          7 |       3 |          4 |        3
  4 | P4   |       7 |     6 |         17 |       4 |         10 |        4
  5 | P5   |       7 |     1 |         18 |      10 |         11 |       10
  6 | P6   |       9 |     3 |         21 |       9 |         12 |        9

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     4 |         21 |      12 |         16 |       12
  2 | P2   |       3 |     3 |          6 |       0 |          3 |        0
  3 | P3   |       3 |     1 |          7 |       3 |          4 |        3
  4 | P4   |       7 |     6 |         13 |       0 |          6 |        0
  5 | P5   |       7 |     1 |         17 |       9 |         10 |        9
  6 | P6   |       9 |     3 |         16 |       4 |          7 |        4

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     4 |         11 |       2 |          6 |        2
  2 | P2   |       3 |     3 |          6 |       0 |          3 |        0
  3 | P3   |       3 |     1 |          7 |       3 |          4 |        3
  4 | P4   |       7 |     6 |         17 |       4 |         10 |        4
  5 | P5   |       7 |     1 |         18 |      10 |         11 |       10
  6 | P6   |       9 |     3 |         21 |       9 |         12 |        9

Per-Process Results - Shortest Job First
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       5 |     4 |         12 |       3 |          7 |        3
  2 | P2   |       3 |     3 |          7 |       1 |          4 |        1
  3 | P3   |       3 |     1 |          4 |       0 |          1 |        0
  4 | P4   |       7 |     6 |         21 |       8 |         14 |        8
  5 | P5   |       7 |     1 |          8 |       0 |          1 |        0
  6 | P6   |       9 |     3 |         15 |       3 |          6 |        3

