CPU Scheduling Simulator Run Log
Timestamp: 2026-04-03 09:12:02
Run Type: Run Simulation
Quantum: 3

Input Process Data
PID | Arrival | Burst | Priority
  1 |       9 |     6 |        2
  2 |       7 |     3 |        2
  3 |       2 |     6 |        2
  4 |       0 |     8 |        3
  5 |       5 |     1 |        2
  6 |       8 |     1 |        1
  7 |       7 |     5 |        1

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |      9.143 |        13.429 |       9.143 |    100.000 |      0.233
Priority                 |      8.429 |        12.714 |       5.143 |    100.000 |      0.233
Round Robin              |     10.429 |        14.714 |       6.000 |    100.000 |      0.233
Shortest Job First       |      6.286 |        10.571 |       6.286 |    100.000 |      0.233

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       9 |     6 |         30 |      15 |         21 |       15
  2 | P2   |       7 |     3 |         18 |       8 |         11 |        8
  3 | P3   |       2 |     6 |         14 |       6 |         12 |        6
  4 | P4   |       0 |     8 |          8 |       0 |          8 |        0
  5 | P5   |       5 |     1 |         15 |       9 |         10 |        9
  6 | P6   |       8 |     1 |         24 |      15 |         16 |       15
  7 | P7   |       7 |     5 |         23 |      11 |         16 |       11

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       9 |     6 |         25 |      10 |         16 |       10
  2 | P2   |       7 |     3 |         19 |       9 |         12 |        9
  3 | P3   |       2 |     6 |          9 |       1 |          7 |        1
  4 | P4   |       0 |     8 |         30 |      22 |         30 |        0
  5 | P5   |       5 |     1 |         16 |      10 |         11 |       10
  6 | P6   |       8 |     1 |         13 |       4 |          5 |        4
  7 | P7   |       7 |     5 |         15 |       3 |          8 |        2

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       9 |     6 |         30 |      15 |         21 |       11
  2 | P2   |       7 |     3 |         16 |       6 |          9 |        6
  3 | P3   |       2 |     6 |         13 |       5 |         11 |        1
  4 | P4   |       0 |     8 |         25 |      17 |         25 |        0
  5 | P5   |       5 |     1 |         10 |       4 |          5 |        4
  6 | P6   |       8 |     1 |         20 |      11 |         12 |       11
  7 | P7   |       7 |     5 |         27 |      15 |         20 |        9

Per-Process Results - Shortest Job First
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       9 |     6 |         30 |      15 |         21 |       15
  2 | P2   |       7 |     3 |         13 |       3 |          6 |        3
  3 | P3   |       2 |     6 |         24 |      16 |         22 |       16
  4 | P4   |       0 |     8 |          8 |       0 |          8 |        0
  5 | P5   |       5 |     1 |         10 |       4 |          5 |        4
  6 | P6   |       8 |     1 |          9 |       0 |          1 |        0
  7 | P7   |       7 |     5 |         18 |       6 |         11 |        6

