CPU Scheduling Simulator Run Log
Timestamp: 2026-04-30 11:40:39
Run Type: Run Simulation
Quantum: 4

Input Process Data
PID | Arrival | Burst | Priority
  1 |       1 |     1 |        3
  2 |       9 |     8 |        3
  3 |       5 |     9 |        2
  4 |       6 |     2 |        2
  5 |       1 |     3 |        3
  6 |       0 |     9 |        2
  7 |       6 |     8 |        2
  8 |       1 |     2 |        3

Comparison Summary
Algorithm | AvgWaiting | AvgTurnaround | AvgResponse | CPUUtil(%) | Throughput
First Come, First Served |     12.750 |        18.000 |      12.750 |    100.000 |      0.190
Priority                 |     18.125 |        23.375 |      16.375 |    100.000 |      0.190
Round Robin              |     15.125 |        20.375 |       8.000 |    100.000 |      0.190
Shortest Job First       |     11.375 |        16.625 |      11.375 |    100.000 |      0.190
Shortest Remaining Time First |      8.500 |        13.750 |       7.500 |    100.000 |      0.190
Lottery                  |     18.500 |        23.750 |      14.125 |    100.000 |      0.190
Guaranteed               |     15.875 |        21.125 |       6.000 |    100.000 |      0.190
Multilevel Queue         |     20.625 |        25.875 |      17.000 |    100.000 |      0.190

Per-Process Results - First Come, First Served
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |         10 |       8 |          9 |        8
  2 | P2   |       9 |     8 |         42 |      25 |         33 |       25
  3 | P3   |       5 |     9 |         24 |      10 |         19 |       10
  4 | P4   |       6 |     2 |         26 |      18 |         20 |       18
  5 | P5   |       1 |     3 |         13 |       9 |         12 |        9
  6 | P6   |       0 |     9 |          9 |       0 |          9 |        0
  7 | P7   |       6 |     8 |         34 |      20 |         28 |       20
  8 | P8   |       1 |     2 |         15 |      12 |         14 |       12

Per-Process Results - Priority
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |         29 |      27 |         28 |       27
  2 | P2   |       9 |     8 |         42 |      25 |         33 |       25
  3 | P3   |       5 |     9 |         28 |      14 |         23 |        4
  4 | P4   |       6 |     2 |         15 |       7 |          9 |        7
  5 | P5   |       1 |     3 |         32 |      28 |         31 |       28
  6 | P6   |       0 |     9 |          9 |       0 |          9 |        0
  7 | P7   |       6 |     8 |         27 |      13 |         21 |        9
  8 | P8   |       1 |     2 |         34 |      31 |         33 |       31

Per-Process Results - Round Robin
PID | Name | Arrival | Burst | Completion | Waiting | Turnaround | Response
  1 | P1   |       1 |     1 |          5 |       3 |          4 |        3
  2 | P2   |       9 |     8 |         41 |      24 |         32 |       15
